,airports,cities,countries,airports - cities
331,Port Hawkesbury Airport,Port Hawkesbury,CA,Port Hawkesbury Airport - Port Hawkesbury
332,Peace River Airport,Peace River,CA,Peace River Airport - Peace River
333,Portage-la-Prairie / Southport Airport,Portage la Prairie,CA,Portage-la-Prairie / Southport Airport - Portage la Prairie
334,Inukjuak Airport,Inukjuak,CA,Inukjuak Airport - Inukjuak
335,Pickle Lake Airport,Pickle Lake,CA,Pickle Lake Airport - Pickle Lake
336,Pikangikum Airport,Pikangikum,CA,Pikangikum Airport - Pikangikum
337,Port Menier Airport,Port-Menier,CA,Port Menier Airport - Port-Menier
338,Peawanuck Airport,Peawanuck,CA,Peawanuck Airport - Peawanuck
339,Peterborough Municipal Airport,Peterborough,CA,Peterborough Municipal Airport - Peterborough
340,Prince Rupert Airport,Prince Rupert,CA,Prince Rupert Airport - Prince Rupert
341,Powell River Airport,Powell River,CA,Powell River Airport - Powell River
342,Puvirnituq Airport,Puvirnituq,CA,Puvirnituq Airport - Puvirnituq
343,Fort Chipewyan Airport,Fort Chipewyan,CA,Fort Chipewyan Airport - Fort Chipewyan
344,Muskoka Airport,Muskoka,CA,Muskoka Airport - Muskoka
345,Quebec Jean Lesage International Airport,Quebec,CA,Quebec Jean Lesage International Airport - Quebec
346,The Pas Airport,The Pas,CA,The Pas Airport - The Pas
347,Red Deer Regional Airport,Springbrook,CA,Red Deer Regional Airport - Springbrook
348,Windsor Airport,Windsor,CA,Windsor Airport - Windsor
349,Watson Lake Airport,Watson Lake,CA,Watson Lake Airport - Watson Lake
350,Yarmouth Airport,Yarmouth,CA,Yarmouth Airport - Yarmouth
351,Kenora Airport,Kenora,CA,Kenora Airport - Kenora
352,Lethbridge County Airport,Lethbridge,CA,Lethbridge County Airport - Lethbridge
353,Greater Moncton Roméo LeBlanc International Airport,Moncton,CA,Greater Moncton Roméo LeBlanc International Airport - Moncton
354,Nakina Airport,Nakina,CA,Nakina Airport - Nakina
355,Comox Valley Airport / CFB Comox,Comox,CA,Comox Valley Airport / CFB Comox - Comox
356,Regina International Airport,Regina,CA,Regina International Airport - Regina
357,St Thomas Municipal Airport,St Thomas,CA,St Thomas Municipal Airport - St Thomas
358,Thunder Bay Airport,Thunder Bay,CA,Thunder Bay Airport - Thunder Bay
359,Grande Prairie Airport,Grande Prairie,CA,Grande Prairie Airport - Grande Prairie
360,Yorkton Municipal Airport,Yorkton,CA,Yorkton Municipal Airport - Yorkton
361,North Battleford Airport,North Battleford,CA,North Battleford Airport - North Battleford
362,Gander International Airport,Gander,CA,Gander International Airport - Gander
363,Sydney / J.A. Douglas McCurdy Airport,Sydney,CA,Sydney / J.A. Douglas McCurdy Airport - Sydney
364,Quesnel Airport,Quesnel,CA,Quesnel Airport - Quesnel
365,Rae Lakes Airport,Gamètì,CA,Rae Lakes Airport - Gamètì
366,Resolute Bay Airport,Resolute Bay,CA,Resolute Bay Airport - Resolute Bay
367,Rivière-du-Loup Airport,Rivière-du-Loup,CA,Rivière-du-Loup Airport - Rivière-du-Loup
368,Roberval Airport,Roberval,CA,Roberval Airport - Roberval
369,Red Lake Airport,Red Lake,CA,Red Lake Airport - Red Lake
370,Ottawa / Rockcliffe Airport,Ottawa,CA,Ottawa / Rockcliffe Airport - Ottawa
371,Ottawa / Carp Airport,Ottawa,CA,Ottawa / Carp Airport - Ottawa
372,Trois-Rivières Airport,Trois-Rivières,CA,Trois-Rivières Airport - Trois-Rivières
373,Red Sucker Lake Airport,Red Sucker Lake,CA,Red Sucker Lake Airport - Red Sucker Lake
374,Rankin Inlet Airport,Rankin Inlet,CA,Rankin Inlet Airport - Rankin Inlet
375,Revelstoke Airport,Revelstoke,CA,Revelstoke Airport - Revelstoke
376,Sudbury Airport,Sudbury,CA,Sudbury Airport - Sudbury
377,Sherbrooke Airport,Sherbrooke,CA,Sherbrooke Airport - Sherbrooke
378,Stony Rapids Airport,Stony Rapids,CA,Stony Rapids Airport - Stony Rapids
379,St Georges Airport,St Georges,CA,St Georges Airport - St Georges
380,Smiths Falls-Montague (Russ Beach) Airport,Smiths Falls,CA,Smiths Falls-Montague (Russ Beach) Airport - Smiths Falls
381,Saint John Airport,Saint John,CA,Saint John Airport - Saint John
382,Sanikiluaq Airport,Sanikiluaq,CA,Sanikiluaq Airport - Sanikiluaq
383,St Leonard Airport,St Leonard,CA,St Leonard Airport - St Leonard
384,Fort Smith Airport,Fort Smith,CA,Fort Smith Airport - Fort Smith
385,Niagara District Airport,St Catharines,CA,Niagara District Airport - St Catharines
386,Marathon Airport,Marathon,CA,Marathon Airport - Marathon
387,St. Theresa Point Airport,St. Theresa Point,CA,St. Theresa Point Airport - St. Theresa Point
388,Summerside Airport,Slemon Park,CA,Summerside Airport - Slemon Park
389,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,CA,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport - Sachs Harbour
390,Pembroke Airport,Pembroke,CA,Pembroke Airport - Pembroke
391,Cape Dorset Airport,Kinngait,CA,Cape Dorset Airport - Kinngait
392,Alma Airport,Alma,CA,Alma Airport - Alma
393,Thompson Airport,Thompson,CA,Thompson Airport - Thompson
394,Big Trout Lake Airport,Big Trout Lake,CA,Big Trout Lake Airport - Big Trout Lake
395,Tasiujaq Airport,Tasiujaq,CA,Tasiujaq Airport - Tasiujaq
396,CFB Trenton,Trenton,CA,CFB Trenton - Trenton
397,Timmins/Victor M. Power,Timmins,CA,Timmins/Victor M. Power - Timmins
398,Billy Bishop Toronto City Centre Airport,Toronto,CA,Billy Bishop Toronto City Centre Airport - Toronto
399,Tuktoyaktuk / James Gruben Airport,Tuktoyaktuk,CA,Tuktoyaktuk / James Gruben Airport - Tuktoyaktuk
400,Montreal / Pierre Elliott Trudeau International Airport,Montréal,CA,Montreal / Pierre Elliott Trudeau International Airport - Montréal
401,Naujaat Airport,Repulse Bay,CA,Naujaat Airport - Repulse Bay
402,Hall Beach Airport,Sanirajak,CA,Hall Beach Airport - Sanirajak
403,Rouyn Noranda Airport,Rouyn-Noranda,CA,Rouyn Noranda Airport - Rouyn-Noranda
404,Bonaventure Airport,Bonaventure,CA,Bonaventure Airport - Bonaventure
405,La Ronge Airport,La Ronge,CA,La Ronge Airport - La Ronge
406,Virden / RJ (Bob) Andrew Field Regional Aerodrome,Virden,CA,Virden / RJ (Bob) Andrew Field Regional Aerodrome - Virden
407,Vernon Airport,Vernon,CA,Vernon Airport - Vernon
408,Qikiqtarjuaq Airport,Qikiqtarjuaq,CA,Qikiqtarjuaq Airport - Qikiqtarjuaq
409,Val-d'Or Airport,Val-d'Or,CA,Val-d'Or Airport - Val-d'Or
410,Kuujjuaq Airport,Kuujjuaq,CA,Kuujjuaq Airport - Kuujjuaq
411,Norman Wells Airport,Norman Wells,CA,Norman Wells Airport - Norman Wells
412,Vancouver International Airport,Vancouver,CA,Vancouver International Airport - Vancouver
413,Wiarton Airport,Wiarton,CA,Wiarton Airport - Wiarton
414,Deer Lake Airport,Deer Lake,CA,Deer Lake Airport - Deer Lake
415,Petawawa Airport,Petawawa,CA,Petawawa Airport - Petawawa
416,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,CA,Winnipeg / James Armstrong Richardson International Airport - Winnipeg
417,Déline Airport,Déline,CA,Déline Airport - Déline
418,Wabush Airport,Wabush,CA,Wabush Airport - Wabush
419,Williams Lake Airport,Williams Lake,CA,Williams Lake Airport - Williams Lake
420,Webequie Airport,Webequie,CA,Webequie Airport - Webequie
421,Wrigley Airport,Wrigley,CA,Wrigley Airport - Wrigley
422,Cranbrook/Canadian Rockies International Airport,Cranbrook,CA,Cranbrook/Canadian Rockies International Airport - Cranbrook
423,Saskatoon John G. Diefenbaker International Airport,Saskatoon,CA,Saskatoon John G. Diefenbaker International Airport - Saskatoon
424,Medicine Hat Regional Airport,Medicine Hat,CA,Medicine Hat Regional Airport - Medicine Hat
425,Fort St John Airport,Fort St.John,CA,Fort St John Airport - Fort St.John
426,Rimouski Airport,Rimouski,CA,Rimouski Airport - Rimouski
427,Sioux Lookout Airport,Sioux Lookout,CA,Sioux Lookout Airport - Sioux Lookout
428,Whale Cove Airport,Whale Cove,CA,Whale Cove Airport - Whale Cove
429,Pangnirtung Airport,Pangnirtung,CA,Pangnirtung Airport - Pangnirtung
430,Beaver Creek Airport,Beaver Creek,CA,Beaver Creek Airport - Beaver Creek
431,Earlton (Timiskaming Regional) Airport,Earlton,CA,Earlton (Timiskaming Regional) Airport - Earlton
432,Prince George Airport,Prince George,CA,Prince George Airport - Prince George
433,Northwest Regional Airport Terrace-Kitimat,Terrace,CA,Northwest Regional Airport Terrace-Kitimat - Terrace
434,London Airport,London,CA,London Airport - London
435,Abbotsford International Airport,Abbotsford,CA,Abbotsford International Airport - Abbotsford
436,Whitehorse / Erik Nielsen International Airport,Whitehorse,CA,Whitehorse / Erik Nielsen International Airport - Whitehorse
437,Wawa Airport,Wawa,CA,Wawa Airport - Wawa
438,North Bay Jack Garland Airport,North Bay,CA,North Bay Jack Garland Airport - North Bay
439,Calgary International Airport,Calgary,CA,Calgary International Airport - Calgary
440,Smithers Airport,Smithers,CA,Smithers Airport - Smithers
441,Fort Nelson Airport,Fort Nelson,CA,Fort Nelson Airport - Fort Nelson
442,Penticton Airport,Penticton,CA,Penticton Airport - Penticton
443,Charlottetown Airport,Charlottetown,CA,Charlottetown Airport - Charlottetown
444,Taloyoak Airport,Taloyoak,CA,Taloyoak Airport - Taloyoak
445,Victoria International Airport,Victoria,CA,Victoria International Airport - Victoria
446,Lynn Lake Airport,Lynn Lake,CA,Lynn Lake Airport - Lynn Lake
447,Swift Current Airport,Swift Current,CA,Swift Current Airport - Swift Current
448,Churchill Airport,Churchill,CA,Churchill Airport - Churchill
449,Goose Bay Airport,Goose Bay,CA,Goose Bay Airport - Goose Bay
450,St. John's International Airport,St. John's,CA,St. John's International Airport - St. John's
451,Kapuskasing Airport,Kapuskasing,CA,Kapuskasing Airport - Kapuskasing
452,Armstrong Airport,Armstrong,CA,Armstrong Airport - Armstrong
453,Mont Joli Airport,Mont-Joli,CA,Mont Joli Airport - Mont-Joli
454,Lester B. Pearson International Airport,Toronto,CA,Lester B. Pearson International Airport - Toronto
455,Downsview Airport,Toronto,CA,Downsview Airport - Toronto
456,Gore Bay Manitoulin Airport,Gore Bay,CA,Gore Bay Manitoulin Airport - Gore Bay
457,Yellowknife International Airport,Yellowknife,CA,Yellowknife International Airport - Yellowknife
458,Salluit Airport,Salluit,CA,Salluit Airport - Salluit
459,Slave Lake Airport,Slave Lake,CA,Slave Lake Airport - Slave Lake
460,Sandspit Airport,Sandspit,CA,Sandspit Airport - Sandspit
461,Chris Hadfield Airport,Sarnia,CA,Chris Hadfield Airport - Sarnia
462,Coral Harbour Airport,Coral Harbour,CA,Coral Harbour Airport - Coral Harbour
463,Port Hardy Airport,Port Hardy,CA,Port Hardy Airport - Port Hardy
464,Whitecourt Airport,Whitecourt,CA,Whitecourt Airport - Whitecourt
465,Sept-Îles Airport,Sept-Îles,CA,Sept-Îles Airport - Sept-Îles
466,Teslin Airport,Teslin,CA,Teslin Airport - Teslin
467,CFB Greenwood,Greenwood,CA,CFB Greenwood - Greenwood
468,Mackenzie Airport,Mackenzie,CA,Mackenzie Airport - Mackenzie
469,York Landing Airport,York Landing,CA,York Landing Airport - York Landing
470,Shuswap Regional Airport,Salmon Arm,CA,Shuswap Regional Airport - Salmon Arm
471,Boundary Bay Airport,Vancouver,CA,Boundary Bay Airport - Vancouver
472,Ilford Airport,Ilford,CA,Ilford Airport - Ilford
473,Bathurst Airport,Bathurst,CA,Bathurst Airport - Bathurst
474,Bromont (Roland Désourdy) Airport,Bromont,CA,Bromont (Roland Désourdy) Airport - Bromont
475,Kelsey Airport,Kelsey,CA,Kelsey Airport - Kelsey
476,Eastmain River Airport,Eastmain River,CA,Eastmain River Airport - Eastmain River
477,Faro Airport,Faro,CA,Faro Airport - Faro
478,Fond-Du-Lac Airport,Fond-Du-Lac,CA,Fond-Du-Lac Airport - Fond-Du-Lac
479,Pukatawagan Airport,Pukatawagan,CA,Pukatawagan Airport - Pukatawagan
480,Fort Mcpherson Airport,Fort Mcpherson,CA,Fort Mcpherson Airport - Fort Mcpherson
481,Tulita Airport,Tulita,CA,Tulita Airport - Tulita
482,Grand Forks Airport,Grand Forks,CA,Grand Forks Airport - Grand Forks
483,Gods River Airport,Gods River,CA,Gods River Airport - Gods River
484,Little Grand Rapids Airport,Little Grand Rapids,CA,Little Grand Rapids Airport - Little Grand Rapids
485,Jenpeg Airport,Jenpeg,CA,Jenpeg Airport - Jenpeg
486,Swan River Airport,Swan River,CA,Swan River Airport - Swan River
487,Kashechewan Airport,Kashechewan,CA,Kashechewan Airport - Kashechewan
488,Thicket Portage Airport,Thicket Portage,CA,Thicket Portage Airport - Thicket Portage
489,Muskrat Dam Airport,Muskrat Dam,CA,Muskrat Dam Airport - Muskrat Dam
490,Pikwitonei Airport,Pikwitonei,CA,Pikwitonei Airport - Pikwitonei
491,Masset Airport,Masset,CA,Masset Airport - Masset
492,Poplar River Airport,Poplar River,CA,Poplar River Airport - Poplar River
493,Sachigo Lake Airport,Sachigo Lake,CA,Sachigo Lake Airport - Sachigo Lake
494,Pincher Creek Airport,Pincher Creek,CA,Pincher Creek Airport - Pincher Creek
495,Round Lake (Weagamow Lake) Airport,Round Lake,CA,Round Lake (Weagamow Lake) Airport - Round Lake
496,Sandy Lake Airport,Sandy Lake,CA,Sandy Lake Airport - Sandy Lake
497,South Indian Lake Airport,South Indian Lake,CA,South Indian Lake Airport - South Indian Lake
498,Stewart Airport,Stewart,CA,Stewart Airport - Stewart
499,Shamattawa Airport,Shamattawa,CA,Shamattawa Airport - Shamattawa
500,Ignace Municipal Airport,Ignace,CA,Ignace Municipal Airport - Ignace
501,Lac Brochet Airport,Lac Brochet,CA,Lac Brochet Airport - Lac Brochet
502,Wollaston Lake Airport,Wollaston Lake,CA,Wollaston Lake Airport - Wollaston Lake
503,Blida Airport,Blida,DZ,Blida Airport - Blida
504,Bou Saada Airport,Ouled Sidi Brahim,DZ,Bou Saada Airport - Ouled Sidi Brahim
505,Soummam – Abane Ramdane Airport,Béjaïa,DZ,Soummam – Abane Ramdane Airport - Béjaïa
506,Houari Boumediene Airport,Algiers,DZ,Houari Boumediene Airport - Algiers
507,Djanet Inedbirene Airport,Djanet,DZ,Djanet Inedbirene Airport - Djanet
508,Boufarik Airport,Guerrouaou,DZ,Boufarik Airport - Guerrouaou
509,Illizi Takhamalt Airport,Illizi,DZ,Illizi Takhamalt Airport - Illizi
510,Ain Arnat Airport,Sétif,DZ,Ain Arnat Airport - Sétif
511,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,DZ,Aguenar – Hadj Bey Akhamok Airport - Tamanrasset
512,Jijel Ferhat Abbas Airport,Jijel,DZ,Jijel Ferhat Abbas Airport - Jijel
513,Mecheria Airport,Mecheria,DZ,Mecheria Airport - Mecheria
514,Relizane Airport,Relizane,DZ,Relizane Airport - Relizane
515,Rabah Bitat Airport,Annaba,DZ,Rabah Bitat Airport - Annaba
516,Mohamed Boudiaf International Airport,Constantine,DZ,Mohamed Boudiaf International Airport - Constantine
517,Cheikh Larbi Tébessi Airport,Tébessi,DZ,Cheikh Larbi Tébessi Airport - Tébessi
518,Batna Mostefa Ben Boulaid Airport,Batna,DZ,Batna Mostefa Ben Boulaid Airport - Batna
519,Hassi R'Mel Airport,Hassi R'Mel,DZ,Hassi R'Mel Airport - Hassi R'Mel
520,Abdelhafid Boussouf Bou Chekif Airport,Tiaret,DZ,Abdelhafid Boussouf Bou Chekif Airport - Tiaret
521,Tindouf Airport,Tindouf,DZ,Tindouf Airport - Tindouf
522,Chlef Aboubakr Belkaid International Airport,Chlef,DZ,Chlef Aboubakr Belkaid International Airport - Chlef
523,Oran Tafraoui Airport,Tafraoui,DZ,Oran Tafraoui Airport - Tafraoui
524,Zenata – Messali El Hadj Airport,Tlemcen,DZ,Zenata – Messali El Hadj Airport - Tlemcen
525,Oran International Airport Ahmed Ben Bella,Oran,DZ,Oran International Airport Ahmed Ben Bella - Oran
526,Béchar Boudghene Ben Ali Lotfi Airport,Béchar,DZ,Béchar Boudghene Ben Ali Lotfi Airport - Béchar
527,Ghriss Airport,Ghriss,DZ,Ghriss Airport - Ghriss
528,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,DZ,Touat Cheikh Sidi Mohamed Belkebir Airport - Adrar
529,Biskra - Mohamed Khider Airport,Biskra,DZ,Biskra - Mohamed Khider Airport - Biskra
530,El Golea Airport,El Menia,DZ,El Golea Airport - El Menia
531,Noumérat - Moufdi Zakaria Airport,Ghardaïa,DZ,Noumérat - Moufdi Zakaria Airport - Ghardaïa
532,Hassi Messaoud-Oued Irara Krim Belkacem Airport,Hassi Messaoud,DZ,Hassi Messaoud-Oued Irara Krim Belkacem Airport - Hassi Messaoud
533,In Salah Airport,In Salah,DZ,In Salah Airport - In Salah
534,Touggourt Sidi Madhi Airport,Touggourt,DZ,Touggourt Sidi Madhi Airport - Touggourt
535,Laghouat - Molay Ahmed Medeghri Airport,Laghouat,DZ,Laghouat - Molay Ahmed Medeghri Airport - Laghouat
536,Guemar Airport,Guemar,DZ,Guemar Airport - Guemar
537,Timimoun Airport,Timimoun,DZ,Timimoun Airport - Timimoun
538,Ain Beida Airport,Ouargla,DZ,Ain Beida Airport - Ouargla
539,Zarzaitine - In Aménas Airport,In Aménas,DZ,Zarzaitine - In Aménas Airport - In Aménas
540,Cadjehoun Airport,Cotonou,BJ,Cadjehoun Airport - Cotonou
541,Baicheng Chang'an Airport,Baicheng,CN,Baicheng Chang'an Airport - Baicheng
542,Ouagadougou Airport,Ouagadougou,BF,Ouagadougou Airport - Ouagadougou
543,Bobo Dioulasso Airport,Bobo Dioulasso,BF,Bobo Dioulasso Airport - Bobo Dioulasso
544,Kotoka International Airport,Accra,GH,Kotoka International Airport - Accra
545,Tamale Airport,Tamale,GH,Tamale Airport - Tamale
546,Kumasi Airport,Kumasi,GH,Kumasi Airport - Kumasi
547,Sunyani Airport,Sunyani,GH,Sunyani Airport - Sunyani
548,Takoradi Airport,Sekondi-Takoradi,GH,Takoradi Airport - Sekondi-Takoradi
549,Félix-Houphouët-Boigny International Airport,Abidjan,CI,Félix-Houphouët-Boigny International Airport - Abidjan
550,Bouaké Airport,Bouaké,CI,Bouaké Airport - Bouaké
551,Daloa Airport,,CI,Daloa Airport - nan
552,Korhogo Airport,Korhogo,CI,Korhogo Airport - Korhogo
553,Man Airport,,CI,Man Airport - nan
554,San Pedro Airport,,CI,San Pedro Airport - nan
555,Yamoussoukro Airport,Yamoussoukro,CI,Yamoussoukro Airport - Yamoussoukro
556,Nnamdi Azikiwe International Airport,Abuja,NG,Nnamdi Azikiwe International Airport - Abuja
557,Akwa Ibom International Airport,Uyo,NG,Akwa Ibom International Airport - Uyo
558,Akure Airport,Akure,NG,Akure Airport - Akure
559,Asaba International Airport,Asaba,NG,Asaba International Airport - Asaba
560,Sir Abubakar Tafawa Balewa International Airport,Bauchi,NG,Sir Abubakar Tafawa Balewa International Airport - Bauchi
561,Benin Airport,Benin,NG,Benin Airport - Benin
562,Margaret Ekpo International Airport,Calabar,NG,Margaret Ekpo International Airport - Calabar
563,Akanu Ibiam International Airport,Enegu,NG,Akanu Ibiam International Airport - Enegu
564,Gusau Airport,Gusau,NG,Gusau Airport - Gusau
565,Ibadan Airport,Ibadan,NG,Ibadan Airport - Ibadan
566,Ilorin International Airport,Ilorin,NG,Ilorin International Airport - Ilorin
567,Sam Mbakwe International Airport,Owerri,NG,Sam Mbakwe International Airport - Owerri
568,Yakubu Gowon Airport,Jos,NG,Yakubu Gowon Airport - Jos
569,Kaduna Airport,Kaduna,NG,Kaduna Airport - Kaduna
570,Mallam Aminu International Airport,Kano,NG,Mallam Aminu International Airport - Kano
571,Maiduguri International Airport,Maiduguri,NG,Maiduguri International Airport - Maiduguri
572,Makurdi Airport,Makurdi,NG,Makurdi Airport - Makurdi
573,Murtala Muhammed International Airport,Lagos,NG,Murtala Muhammed International Airport - Lagos
574,Minna Airport,Minna,NG,Minna Airport - Minna
575,Port Harcourt International Airport,Port Harcourt,NG,Port Harcourt International Airport - Port Harcourt
576,Sadiq Abubakar III International Airport,Sokoto,NG,Sadiq Abubakar III International Airport - Sokoto
577,Yola Airport,Yola,NG,Yola Airport - Yola
578,Zaria Airport,Zaria,NG,Zaria Airport - Zaria
579,Maradi Airport,Maradi,NE,Maradi Airport - Maradi
580,Diori Hamani International Airport,Niamey,NE,Diori Hamani International Airport - Niamey
581,Tahoua Airport,Tahoua,NE,Tahoua Airport - Tahoua
582,Mano Dayak International Airport,Agadez,NE,Mano Dayak International Airport - Agadez
583,Zinder Airport,Zinder,NE,Zinder Airport - Zinder
584,Tabarka 7 Novembre Airport,Tabarka,TN,Tabarka 7 Novembre Airport - Tabarka
585,Monastir Habib Bourguiba International Airport,Monastir,TN,Monastir Habib Bourguiba International Airport - Monastir
586,Tunis Carthage International Airport,Tunis,TN,Tunis Carthage International Airport - Tunis
587,Sidi Ahmed Air Base,Sidi Ahmed,TN,Sidi Ahmed Air Base - Sidi Ahmed
588,Remada Air Base,Remada,TN,Remada Air Base - Remada
589,Gafsa Ksar International Airport,Gafsa,TN,Gafsa Ksar International Airport - Gafsa
590,Gabès Matmata International Airport,Gabès,TN,Gabès Matmata International Airport - Gabès
591,Djerba Zarzis International Airport,Djerba,TN,Djerba Zarzis International Airport - Djerba
592,El Borma Airport,El Borma,TN,El Borma Airport - El Borma
593,Sfax Thyna International Airport,Sfax,TN,Sfax Thyna International Airport - Sfax
594,Tozeur Nefta International Airport,Tozeur,TN,Tozeur Nefta International Airport - Tozeur
595,Niamtougou International Airport,Niamtougou,TG,Niamtougou International Airport - Niamtougou
596,Lomé–Tokoin International Airport,Lomé,TG,Lomé–Tokoin International Airport - Lomé
