,airports,cities,countries,airports - cities
2551,Portorož Airport,Portorož,SI,Portorož Airport - Portorož
2552,Čáslav Air Base,Čáslav,CZ,Čáslav Air Base - Čáslav
2553,Kbely Air Base,Prague,CZ,Kbely Air Base - Prague
2554,Kunovice Airport,Uherské Hradiště,CZ,Kunovice Airport - Uherské Hradiště
2555,Karlovy Vary International Airport,Karlovy Vary,CZ,Karlovy Vary International Airport - Karlovy Vary
2556,Plzeň-Líně Airport,Plzen,CZ,Plzeň-Líně Airport - Plzen
2557,Ostrava Leos Janáček Airport,Ostrava,CZ,Ostrava Leos Janáček Airport - Ostrava
2558,Náměšť Air Base,Náměšť,CZ,Náměšť Air Base - Náměšť
2559,Pardubice Airport,Pardubice,CZ,Pardubice Airport - Pardubice
2560,Přerov Air Base,Přerov,CZ,Přerov Air Base - Přerov
2561,Václav Havel Airport Prague,Prague,CZ,Václav Havel Airport Prague - Prague
2562,Brno-Tuřany Airport,Brno,CZ,Brno-Tuřany Airport - Brno
2563,Vodochody Airport,Vodochody,CZ,Vodochody Airport - Vodochody
2564,Ben Gurion International Airport,Tel Aviv,IL,Ben Gurion International Airport - Tel Aviv
2565,Tel Nof Air Base,Rehovot,IL,Tel Nof Air Base - Rehovot
2566,Ramon International Airport,Eilat,IL,Ramon International Airport - Eilat
2567,Haifa International Airport,Haifa,IL,Haifa International Airport - Haifa
2568,Rosh Pina Airport,Rosh Pina,IL,Rosh Pina Airport - Rosh Pina
2569,Bar Yehuda Airfield,Masada,IL,Bar Yehuda Airfield - Masada
2570,Nevatim Air Base,Beersheba,IL,Nevatim Air Base - Beersheba
2571,Ramat David Air Base,Haifa,IL,Ramat David Air Base - Haifa
2572,Ramon Air Base,Beersheba,IL,Ramon Air Base - Beersheba
2573,Malta International Airport,Valletta,MT,Malta International Airport - Valletta
2574,Wiener Neustadt East Airport,Wiener Neustadt,AT,Wiener Neustadt East Airport - Wiener Neustadt
2575,Graz Airport,Graz (Feldkirchen bei Graz),AT,Graz Airport - Graz (Feldkirchen bei Graz)
2576,Innsbruck Airport,Innsbruck,AT,Innsbruck Airport - Innsbruck
2577,Klagenfurt Airport,Klagenfurt am Wörthersee,AT,Klagenfurt Airport - Klagenfurt am Wörthersee
2578,Linz-Hörsching Airport / Vogler Air Base,Linz,AT,Linz-Hörsching Airport / Vogler Air Base - Linz
2579,Salzburg Airport,Salzburg,AT,Salzburg Airport - Salzburg
2580,Vienna International Airport,Vienna,AT,Vienna International Airport - Vienna
2581,Hinterstoisser Air Base,Zeltweg,AT,Hinterstoisser Air Base - Zeltweg
2582,Alverca Air Base,Vila Franca de Xira,PT,Alverca Air Base - Vila Franca de Xira
2583,Santa Maria Airport,Vila do Porto,PT,Santa Maria Airport - Vila do Porto
2584,Bragança Airport,Bragança,PT,Bragança Airport - Bragança
2585,Beja Airport / Airbase,Beja,PT,Beja Airport / Airbase - Beja
2586,Braga Municipal Aerodrome,Braga,PT,Braga Municipal Aerodrome - Braga
2587,Aerodromo de Castelo Branco,Castelo Branco,PT,Aerodromo de Castelo Branco - Castelo Branco
2588,Aerodromo Municipal de Coimbra,Coimbra,PT,Aerodromo Municipal de Coimbra - Coimbra
2589,Cascais Airport,Cascais,PT,Cascais Airport - Cascais
2590,Évora Airfield,Évora,PT,Évora Airfield - Évora
2591,Flores Airport,Santa Cruz das Flores,PT,Flores Airport - Santa Cruz das Flores
2592,Faro Airport,Faro,PT,Faro Airport - Faro
2593,Graciosa Airport,Santa Cruz da Graciosa,PT,Graciosa Airport - Santa Cruz da Graciosa
2594,Horta Airport,Horta,PT,Horta Airport - Horta
2595,Lajes Airport,Praia da Vitória,PT,Lajes Airport - Praia da Vitória
2596,Madeira International Airport Cristiano Ronaldo,Funchal,PT,Madeira International Airport Cristiano Ronaldo - Funchal
2597,Monte Real Air Base,,PT,Monte Real Air Base - nan
2598,Montijo Air Base,Montijo,PT,Montijo Air Base - Montijo
2599,Ovar Air Base,Ovar,PT,Ovar Air Base - Ovar
2600,João Paulo II Airport,Ponta Delgada,PT,João Paulo II Airport - Ponta Delgada
2601,Pico Airport,Pico Island,PT,Pico Airport - Pico Island
2602,Portimão Airport,Portimão,PT,Portimão Airport - Portimão
2603,Francisco de Sá Carneiro Airport,Porto,PT,Francisco de Sá Carneiro Airport - Porto
2604,Porto Santo Airport,Vila Baleira,PT,Porto Santo Airport - Vila Baleira
2605,Humberto Delgado Airport (Lisbon Portela Airport),Lisbon,PT,Humberto Delgado Airport (Lisbon Portela Airport) - Lisbon
2606,São Jorge Airport,Velas,PT,São Jorge Airport - Velas
2607,Aerodromo Ponte de Sor,Ponte de Sôr,PT,Aerodromo Ponte de Sor - Ponte de Sôr
2608,Sintra Air Base,Sintra,PT,Sintra Air Base - Sintra
2609,Tancos Airbase,Tancos,PT,Tancos Airbase - Tancos
2610,Vilar de Luz Airfield,Maia,PT,Vilar de Luz Airfield - Maia
2611,Vila Real Airport,Vila Real,PT,Vila Real Airport - Vila Real
2612,Aerodromo Goncalves Lobato (Viseu Airport),Viseu,PT,Aerodromo Goncalves Lobato (Viseu Airport) - Viseu
2613,Banja Luka International Airport,Banja Luka,BA,Banja Luka International Airport - Banja Luka
2614,Mostar International Airport,Mostar,BA,Mostar International Airport - Mostar
2615,Sarajevo International Airport,Sarajevo,BA,Sarajevo International Airport - Sarajevo
2616,Tuzla International Airport,Tuzla,BA,Tuzla International Airport - Tuzla
2617,Ianca Air Base,Ianca,RO,Ianca Air Base - Ianca
2618,Feteşti Air Base,Feteşti,RO,Feteşti Air Base - Feteşti
2619,Boboc Air Base,Boboc,RO,Boboc Air Base - Boboc
2620,Arad International Airport,Arad,RO,Arad International Airport - Arad
2621,Bacău Airport,Bacău,RO,Bacău Airport - Bacău
2622,Maramureș International Airport,Baia Mare,RO,Maramureș International Airport - Baia Mare
2623,Băneasa International Airport,Bucharest,RO,Băneasa International Airport - Bucharest
2624,Mihail Kogălniceanu International Airport,Constanţa,RO,Mihail Kogălniceanu International Airport - Constanţa
2625,Cluj-Napoca International Airport,Cluj-Napoca,RO,Cluj-Napoca International Airport - Cluj-Napoca
2626,Caransebeş Airport,Caransebeş,RO,Caransebeş Airport - Caransebeş
2627,Câmpia Turzii Air Base,Câmpia Turzii,RO,Câmpia Turzii Air Base - Câmpia Turzii
2628,Craiova Airport,Craiova,RO,Craiova Airport - Craiova
2629,Iaşi Airport,Iaşi,RO,Iaşi Airport - Iaşi
2630,Oradea International Airport,Oradea,RO,Oradea International Airport - Oradea
2631,Henri Coandă International Airport,Bucharest,RO,Henri Coandă International Airport - Bucharest
2632,Brașov-Ghimbav International Airport (U.C.),Brașov (Ghimbav),RO,Brașov-Ghimbav International Airport (U.C.) - Brașov (Ghimbav)
2633,Sibiu International Airport,Sibiu,RO,Sibiu International Airport - Sibiu
2634,Satu Mare Airport,Satu Mare,RO,Satu Mare Airport - Satu Mare
2635,Suceava Stefan cel Mare Airport,Suceava,RO,Suceava Stefan cel Mare Airport - Suceava
2636,Tulcea Danube Delta Airport,Tulcea,RO,Tulcea Danube Delta Airport - Tulcea
2637,Transilvania Târgu Mureş International Airport,Târgu Mureş,RO,Transilvania Târgu Mureş International Airport - Târgu Mureş
2638,Timişoara Traian Vuia Airport,Timişoara,RO,Timişoara Traian Vuia Airport - Timişoara
2639,Les Eplatures Airport,La Chaux-de-Fonds,CH,Les Eplatures Airport - La Chaux-de-Fonds
2640,Geneva Cointrin International Airport,Geneva,CH,Geneva Cointrin International Airport - Geneva
2641,Sion Airport,Sion,CH,Sion Airport - Sion
2642,Alpnach Air Base,Alpnach,CH,Alpnach Air Base - Alpnach
2643,Dübendorf Air Base,Zurich,CH,Dübendorf Air Base - Zurich
2644,Emmen Air Base,,CH,Emmen Air Base - nan
2645,Payerne Air Base,,CH,Payerne Air Base - nan
2646,Lugano Airport,Lugano,CH,Lugano Airport - Lugano
2647,Bern Belp Airport,Bern,CH,Bern Belp Airport - Bern
2648,Grenchen Airport,Grenchen,CH,Grenchen Airport - Grenchen
2649,Zürich Airport,Zurich,CH,Zürich Airport - Zurich
2650,St Gallen Altenrhein Airport,Altenrhein,CH,St Gallen Altenrhein Airport - Altenrhein
2651,Samedan Airport,,CH,Samedan Airport - nan
2652,Esenboğa International Airport,Ankara,TR,Esenboğa International Airport - Ankara
2653,Etimesgut Air Base,Ankara,TR,Etimesgut Air Base - Ankara
2654,Akıncı Air Base,Ankara,TR,Akıncı Air Base - Ankara
2655,Adana Şakirpaşa Airport,Seyhan,TR,Adana Şakirpaşa Airport - Seyhan
2656,İncirlik Air Base,Sarıçam,TR,İncirlik Air Base - Sarıçam
2657,Afyon Air Base,Afyonkarahisar,TR,Afyon Air Base - Afyonkarahisar
2658,Antalya International Airport,Antalya,TR,Antalya International Airport - Antalya
2659,Gaziantep International Airport,Gaziantep,TR,Gaziantep International Airport - Gaziantep
2660,Kastamonu Airport,Kastamonu,TR,Kastamonu Airport - Kastamonu
2661,Konya Airport,Konya,TR,Konya Airport - Konya
2662,Zonguldak Çaycuma Airport,Zonguldak,TR,Zonguldak Çaycuma Airport - Zonguldak
2663,Malatya Erhaç Airport,Malatya,TR,Malatya Erhaç Airport - Malatya
2664,Kayseri Erkilet Airport,Kayseri,TR,Kayseri Erkilet Airport - Kayseri
2665,Sivrihisar Airport,Sivrihisar,TR,Sivrihisar Airport - Sivrihisar
2666,Tokat Airport,Tokat,TR,Tokat Airport - Tokat
2667,Çardak Airport,Denizli,TR,Çardak Airport - Denizli
